date,E1VFVN30
2014-10-06 07:00:00,10.4
2014-10-07 07:00:00,10.3
2014-10-08 07:00:00,10.3
2014-10-09 07:00:00,10.2
2014-10-10 07:00:00,9.9
2014-10-13 07:00:00,9.9
2014-10-14 07:00:00,9.9
2014-10-15 07:00:00,9.9
2014-10-16 07:00:00,9.6
2014-10-17 07:00:00,9.7
2014-10-20 07:00:00,9.8
2014-10-21 07:00:00,9.9
2014-10-22 07:00:00,9.8
2014-10-23 07:00:00,9.8
2014-10-24 07:00:00,9.7
2014-10-27 07:00:00,9.6
2014-10-28 07:00:00,9.5
2014-10-29 07:00:00,9.8
2014-10-30 07:00:00,9.7
2014-10-31 07:00:00,9.9
2014-11-03 07:00:00,10.1
2014-11-04 07:00:00,10.1
2014-11-05 07:00:00,10.0
2014-11-06 07:00:00,9.8
2014-11-07 07:00:00,9.8
2014-11-10 07:00:00,9.9
2014-11-11 07:00:00,10.0
2014-11-12 07:00:00,9.9
2014-11-13 07:00:00,10.0
2014-11-14 07:00:00,9.9
2014-11-17 07:00:00,9.9
2014-11-18 07:00:00,9.9
2014-11-19 07:00:00,9.8
2014-11-20 07:00:00,9.9
2014-11-21 07:00:00,9.6
2014-11-24 07:00:00,9.5
2014-11-25 07:00:00,9.7
2014-11-26 07:00:00,9.5
2014-11-27 07:00:00,9.5
2014-11-28 07:00:00,9.5
2014-12-01 07:00:00,9.7
2014-12-02 07:00:00,9.5
2014-12-03 07:00:00,9.6
2014-12-04 07:00:00,9.7
2014-12-05 07:00:00,9.7
2014-12-08 07:00:00,9.6
2014-12-09 07:00:00,9.4
2014-12-10 07:00:00,9.5
2014-12-11 07:00:00,9.5
2014-12-12 07:00:00,9.5
2014-12-15 07:00:00,9.5
2014-12-16 07:00:00,9.3
2014-12-17 07:00:00,8.9
2014-12-18 07:00:00,9.0
2014-12-19 07:00:00,9.0
2014-12-22 07:00:00,9.2
2014-12-23 07:00:00,9.1
2014-12-24 07:00:00,9.1
2014-12-25 07:00:00,9.1
2014-12-26 07:00:00,9.2
2014-12-29 07:00:00,9.2
2014-12-30 07:00:00,9.3
2014-12-31 07:00:00,9.4
2015-01-05 07:00:00,9.4
2015-01-06 07:00:00,9.4
2015-01-07 07:00:00,9.4
2015-01-08 07:00:00,9.3
2015-01-09 07:00:00,9.5
2015-01-12 07:00:00,9.6
2015-01-13 07:00:00,9.6
2015-01-14 07:00:00,9.6
2015-01-15 07:00:00,9.5
2015-01-16 07:00:00,9.5
2015-01-19 07:00:00,9.5
2015-01-20 07:00:00,9.4
2015-01-21 07:00:00,9.4
2015-01-22 07:00:00,9.4
2015-01-23 07:00:00,9.5
2015-01-26 07:00:00,9.5
2015-01-27 07:00:00,9.5
2015-01-28 07:00:00,9.5
2015-01-29 07:00:00,9.5
2015-01-30 07:00:00,9.5
2015-02-02 07:00:00,9.3
2015-02-03 07:00:00,9.3
2015-02-04 07:00:00,9.3
2015-02-05 07:00:00,9.2
2015-02-06 07:00:00,9.2
2015-02-09 07:00:00,9.3
2015-02-10 07:00:00,9.2
2015-02-11 07:00:00,9.3
2015-02-12 07:00:00,9.4
2015-02-13 07:00:00,9.5
2015-02-24 07:00:00,9.5
2015-02-25 07:00:00,9.6
2015-02-26 07:00:00,9.5
2015-02-27 07:00:00,9.5
2015-03-02 07:00:00,9.5
2015-03-03 07:00:00,9.6
2015-03-04 07:00:00,9.6
2015-03-05 07:00:00,9.6
2015-03-06 07:00:00,9.7
2015-03-09 07:00:00,9.6
2015-03-10 07:00:00,9.6
2015-03-11 07:00:00,9.5
2015-03-12 07:00:00,9.5
2015-03-13 07:00:00,9.5
2015-03-16 07:00:00,9.4
2015-03-17 07:00:00,9.4
2015-03-18 07:00:00,9.4
2015-03-19 07:00:00,9.3
2015-03-20 07:00:00,9.3
2015-03-23 07:00:00,9.4
2015-03-24 07:00:00,9.3
2015-03-25 07:00:00,9.2
2015-03-26 07:00:00,9.2
2015-03-27 07:00:00,9.3
2015-03-30 07:00:00,9.0
2015-03-31 07:00:00,9.2
2015-04-01 07:00:00,8.9
2015-04-02 07:00:00,9.0
2015-04-03 07:00:00,9.0
2015-04-06 07:00:00,8.9
2015-04-07 07:00:00,9.0
2015-04-08 07:00:00,8.9
2015-04-09 07:00:00,9.0
2015-04-10 07:00:00,9.1
2015-04-13 07:00:00,9.0
2015-04-14 07:00:00,9.0
2015-04-15 07:00:00,9.1
2015-04-16 07:00:00,9.2
2015-04-17 07:00:00,9.3
2015-04-20 07:00:00,9.2
2015-04-21 07:00:00,9.1
2015-04-22 07:00:00,9.1
2015-04-23 07:00:00,9.1
2015-04-24 07:00:00,9.1
2015-04-27 07:00:00,9.1
2015-05-04 07:00:00,9.0
2015-05-05 07:00:00,8.9
2015-05-06 07:00:00,8.9
2015-05-07 07:00:00,9.0
2015-05-08 07:00:00,8.9
2015-05-11 07:00:00,9.0
2015-05-12 07:00:00,8.8
2015-05-13 07:00:00,8.8
2015-05-14 07:00:00,8.9
2015-05-15 07:00:00,8.7
2015-05-18 07:00:00,8.7
2015-05-19 07:00:00,8.7
2015-05-20 07:00:00,8.8
2015-05-21 07:00:00,8.8
2015-05-22 07:00:00,9.1
2015-05-25 07:00:00,9.0
2015-05-26 07:00:00,9.1
2015-05-27 07:00:00,9.1
2015-05-28 07:00:00,9.1
2015-05-29 07:00:00,9.1
2015-06-01 07:00:00,9.1
2015-06-02 07:00:00,9.1
2015-06-03 07:00:00,9.0
2015-06-04 07:00:00,9.0
2015-06-05 07:00:00,9.1
2015-06-08 07:00:00,9.1
