,net_return
2016-04-08,-0.0003232648705309524
2016-04-15,0.018824230171548068
2016-04-22,0.03302149238602676
2016-04-29,0.04707935929264392
2016-05-06,-0.03637591617758384
2016-05-13,-0.002886294592121752
2016-05-20,0.012845263054511278
2016-05-27,0.03643494556740563
2016-06-03,0.021837998689292416
2016-06-10,-0.020090027074939506
2016-06-17,0.045603475530779994
2016-06-24,0.058511995881533004
2016-07-01,0.03900314846593183
2016-07-08,-0.02764896941743675
2016-07-15,-0.02491842023670854
2016-07-22,0.016952272747810776
2016-07-29,-0.025927554465610972
2016-08-05,0.05000571484844675
2016-08-12,0.06299004015633365
2016-08-26,0.014981972219763207
2016-09-02,-0.004088149222606287
2016-09-09,-0.02440867693640738
2016-09-16,0.036852709598347404
2016-09-23,0.014235931953847827
2016-09-30,-0.029169226892481255
2016-10-07,0.008048399037017467
2016-10-14,-0.002519399850590166
2016-10-21,-0.014209146584793352
2016-10-28,-0.01472234318877734
2016-11-04,0.023683791585011646
2016-11-11,-0.01727644888552494
2016-11-18,0.010358154070737775
2016-11-25,-0.009821921525471894
2016-12-02,-0.026620626254417842
2016-12-09,0.021684485508448436
2016-12-16,-0.010015175958570495
2016-12-23,0.011446084881048722
2016-12-30,0.007397706593119384
2017-01-06,0.011329298033059432
2017-01-13,-0.003708430992418618
2017-01-20,0.005677919337820463
2017-01-27,0.01184851742873419
2017-02-03,0.02449862204650679
2017-02-10,0.01014688659786249
2017-02-17,-0.004147389333900339
2017-02-24,-0.004009015555788677
2017-03-03,0.04091656998289646
2017-03-10,0.000757547829797069
2017-03-17,0.0018911224947211276
2017-03-24,-0.00011463466365731786
2017-03-31,0.012982120828504237
2017-04-07,-0.03498843392722401
2017-04-14,-0.009425161328302172
2017-04-21,0.03545985844215016
2017-04-28,0.015533745095665442
2017-05-05,0.018048360304343022
2017-05-12,0.03769597378998561
2017-05-19,0.04893378253053913
2017-05-26,-0.016530234869819055
2017-06-02,0.04295877824054329
2017-06-09,0.008910512616470556
2017-06-16,0.02120231123228484
2017-06-23,0.0015775414747969882
2017-06-30,-0.015611602181175804
2017-07-07,-0.0051425105910847075
2017-07-14,-0.013337994582598368
2017-07-21,0.02443027192921299
2017-07-28,0.002626726413916792
2017-08-04,-0.04981240244379706
2017-08-11,-0.009151399929530584
2017-08-18,0.0013409141213858414
2017-08-25,0.036130399782439385
2017-09-01,-0.019096598950754325
2017-09-08,0.014799357090196294
2017-09-15,-0.014636617059227473
2017-09-22,-0.00181447087681501
2017-09-29,0.004416684605312212
2017-10-06,0.029937963671549585
2017-10-13,-0.013224218670862455
2017-10-20,0.011258826731272062
2017-10-27,-0.0146118843833918
2017-11-03,0.026378527645030694
2017-11-10,0.023410776290676782
2017-11-17,0.05480425560565598
2017-11-24,0.026548842327132824
2017-12-01,-0.017892685994634974
2017-12-08,0.0027154635768469352
2017-12-15,0.006661181607575743
2017-12-22,0.028328255118585936
2017-12-29,0.034170961658978
2018-01-05,0.03224176752795554
2018-01-12,0.01660942523769851
2018-01-19,0.09474281417251917
2018-01-26,-0.00559568908078526
