,equal,signal,vol_adjusted,mean_variance,benchmark
2016-04-08,0.9996767351294691,0.998982863682387,0.9989214308792571,0.998982863682387,0.9782608695652174
2016-04-15,1.018494880088688,1.0127854210694058,0.9970639016961405,1.0127854210694058,0.9782608695652174
2016-04-22,1.052127101016744,1.0366151981408014,1.011329376749252,1.0366151981408014,0.9887798036465638
2016-04-29,1.101660570827039,1.0819608040678408,1.0510766245857386,1.0819608040678408,0.9992987377279103
2016-05-06,1.0615866582464855,1.023279519551613,1.0034912028305365,1.023279519551613,0.9992987377279103
2016-05-13,1.05852260641572,1.0247118112945188,1.0026315608634162,1.0247118112945188,1.009708099579243
2016-05-20,1.072119607744277,1.06162309807361,1.0257461424688186,1.06162309807361,1.009708099579243
2016-05-27,1.1111822272941878,1.124766174791858,1.0727749583793993,1.124766174791858,1.009708099579243
2016-06-03,1.1354482233174035,1.1711275255504752,1.1075249387648844,1.1711275255504752,1.0200112434525004
2016-06-10,1.1126370377687649,1.1486933349654065,1.0868428934180676,1.1486933349654065,1.0200112434525004
2016-06-17,1.1633771536952922,1.1696583557376088,1.1163596958466673,1.1696583557376088,1.009708099579243
2016-06-24,1.2314486729209806,1.255967024440946,1.1924373321430477,1.255967024440946,0.9893099561533995
2016-07-01,1.2794790483390923,1.321881506472519,1.2434644696874195,1.321881506472519,1.0092960158736701
2016-07-08,1.2441027712613137,1.256440756280192,1.187274485414577,1.256440756280192,1.0092960158736701
2016-07-15,1.2131016955893708,1.2040665871649974,1.1466306434487363,1.2040665871649974,1.028893996764421
2016-07-22,1.2336665264038336,1.2170769157875116,1.1647783577966804,1.2170769157875116,1.0091075737497206
2016-07-29,1.201680570348097,1.2005796399421464,1.1457000290655415,1.2005796399421464,1.019000785257071
2016-08-05,1.2617714662878428,1.2599193034634928,1.201309855561332,1.2532338363888806,0.9986207695519297
2016-08-12,1.34125050161743,1.3075834519287697,1.2520805654515466,1.3083491771519304,1.0183954382559284
2016-08-26,1.361345079372406,1.3269293399284547,1.2678915441453231,1.3250631886126831,1.0281877020853123
2016-09-02,1.355779697544471,1.3250337807681658,1.266898321577578,1.3268508063659623,1.0379799659146962
2016-09-09,1.3226869089101678,1.2853055467966201,1.2336966138035692,1.2926783240404984,1.0379799659146962
2016-09-16,1.3714315054537698,1.3207759249165723,1.272645628125395,1.3147440660124108,1.0262070362445865
