date,signal_spread,top_avg_score,rolling_ic_12w,ic_positive_pct,market_trend_4w,vol_regime,market_drawdown,cs_dispersion,vol_trend,bear_dummy,mom_portfolio_vol,bear_x_highvol
2014-10-10,,,,,,,,,,,,
2014-10-17,,,,,,,0.0,,,0.0,,0.0
2014-10-24,,,,,,,0.0,,,0.0,,0.0
2014-10-31,,,,,,,-0.010204081632653043,,,0.0,,0.0
2014-11-07,,,,,-0.0085806229708376,,0.0,,,0.0,,0.0
2014-11-14,,,,,0.0208311417350446,,0.0,,,0.0,,0.0
2014-11-21,,,,,0.00041447506837789805,,-0.009999999999999969,,,0.0,,0.0
2014-11-28,,,,,-0.019684473601999302,,-0.039999999999999994,,-0.41998413556836595,0.0,,0.0
2014-12-05,,,,,-0.0403030303030303,,-0.039999999999999994,,-0.013382268565139296,0.0,,0.0
2014-12-12,,,,,-0.0403030303030303,,-0.039999999999999994,,-0.2120143293753727,0.0,,0.0
2014-12-19,,,,,-0.030303030303030304,,-0.039999999999999994,,-0.13864999174639173,0.0,,0.0
2014-12-26,,,,,0.0,,-0.039999999999999994,,-0.1231439815194125,0.0,,0.0
2015-01-02,,,,0.0,0.0109890109890109,,-0.029450549450549514,,-0.30828232155540247,0.0,,0.0
2015-01-09,,,,0.0,0.0217416991610539,,-0.019014533853243656,,-0.22952619800901186,0.0,,0.0
2015-01-16,,,,0.0,0.0432470755051399,,0.0,,-0.17150586267819842,0.0,,0.0
2015-01-23,,,,0.0,0.0432470755051399,,0.0,,-0.000842725107852358,0.0,,0.0
2015-01-30,,,,0.0,0.042896362388469396,,0.0,,0.008824384254947564,0.0,,0.0
2015-02-06,,,,0.0,0.0321436742164264,,0.0,,-0.05702601236353099,0.0,,0.0
2015-02-13,,,,0.0,0.0106382978723404,,0.0,,-0.1027827473768786,0.0,,0.0
2015-02-20,,,,0.0,0.0212765957446808,,0.0,,-0.24164663865238434,0.0,,0.0
2015-02-27,,,,0.0,,,,,,0.0,,0.0
2015-03-06,,,,0.0,,0.0,0.0,,-0.21438943146727324,0.0,,0.0
2015-03-13,,,,0.0,,0.0,0.0,,-0.22007223006990798,0.0,,0.0
2015-03-20,,,,0.0,,0.0,0.0,,-0.1963642111289706,0.0,,0.0
2015-03-27,,,,0.0,0.0104166666666667,0.0,0.0,,-0.1855595048957887,0.0,,0.0
2015-04-03,,,,0.0,0.021286231884058003,0.0,0.0,,-0.19991014779924005,0.0,,0.0
2015-04-10,,,,0.0,0.0108695652173913,2.0,0.0,,-0.16181748960040174,0.0,,0.0
2015-04-17,,,,0.0,0.0219806763285023,2.0,0.0,,-0.17180680028884154,0.0,,0.0
2015-04-24,,,,0.0,0.0328502415458936,1.0,0.0,,-0.13348555701864662,0.0,,0.0
