date,trade_probability
2014-10-10,0.5812589745065522
2014-10-17,0.6851136048123584
2014-10-24,0.6851136048123584
2014-10-31,0.6463387894399754
2014-11-07,0.6660706479601265
2014-11-14,0.7007396979120738
2014-11-21,0.638441925326613
2014-11-28,0.43084293049395705
2014-12-05,0.47178759779074947
2014-12-12,0.43814151021809444
2014-12-19,0.46404910400067756
2014-12-26,0.507939289302702
2015-01-02,0.5038398507807338
2015-01-09,0.5759467207186377
2015-01-16,0.6874048621165741
2015-01-23,0.7119020961624531
2015-01-30,0.7128638753410619
2015-02-06,0.6911944078286367
2015-02-13,0.658629041593217
2015-02-20,0.6502861082814823
2015-02-27,0.5493034686345434
2015-03-06,0.603469938545512
2015-03-13,0.6025402838825025
2015-03-20,0.6064137319064059
2015-03-27,0.6121395798122137
2015-04-03,0.6238143894483233
2015-04-10,0.6816163747210836
2015-04-17,0.6931660181025342
2015-04-24,0.6807697694066515
2015-05-01,0.6718333293769558
2015-05-08,0.6698574917608372
2015-05-15,0.5648410067800029
2015-05-22,0.4962087519954429
2015-05-29,0.7428144175523508
2015-06-05,0.8260957552404219
2015-06-12,0.8377381739250844
2015-06-19,0.8059898303392551
2015-06-26,0.6820794664685995
2015-07-03,0.63596659051328
2015-07-10,0.6364945660612699
2015-07-17,0.6800050917066335
2015-07-24,0.6348105129259919
2015-07-31,0.6220464100076823
2015-08-07,0.6095365720957261
2015-08-14,0.5973457686594669
2015-08-21,0.6320957991152752
2015-08-28,0.5148560404394187
2015-09-04,0.7623031424513577
2015-09-11,0.9007288564906863
2015-09-18,0.8755712472281147
2015-09-25,0.9138544708322677
2015-10-02,0.8018451379517625
2015-10-09,0.6624186862811396
2015-10-16,0.7077966128746499
2015-10-23,0.5875897864788789
2015-10-30,0.6511162218600277
2015-11-06,0.630366989992618
2015-11-13,0.6124401029294152
2015-11-20,0.6031468386127388
2015-11-27,0.6076128202420067
2015-12-04,0.44896242703193817
2015-12-11,0.4691700456701156
2015-12-18,0.35466715464898557
2015-12-25,0.3944088758319664
2016-01-01,0.4597647283560657
2016-01-08,0.44782164130667484
2016-01-15,0.35588279559080427
2016-01-22,0.32074531607216605
2016-01-29,0.36902816844416436
2016-02-05,0.32036815969672305
2016-02-12,0.3532922069761178
2016-02-19,0.5493034686345434
2016-02-26,0.35373285668409177
2016-03-04,0.322785494615375
2016-03-11,0.2752000072742091
2016-03-18,0.30852018389376695
2016-03-25,0.32773664229374944
2016-04-01,0.29902650528830144
2016-04-08,0.30582911981120026
2016-04-15,0.3840157110717013
2016-04-22,0.30472292896212644
2016-04-29,0.45050278017625084
2016-05-06,0.4456331099215808
2016-05-13,0.49677997374669847
2016-05-20,0.5679296498626184
2016-05-27,0.5224134599274765
2016-06-03,0.6363055875045326
2016-06-10,0.6302106471118041
2016-06-17,0.6553741719515934
2016-06-24,0.5177191780658058
2016-07-01,0.4998298617086252
2016-07-08,0.6673706885114921
2016-07-15,0.7454726995024187
2016-07-22,0.8539220870005557
2016-07-29,0.6800554481922564
2016-08-05,0.694930074476312
2016-08-12,0.4363425205072384
2016-08-19,0.6239362036116483
2016-08-26,0.6866938491807641
2016-09-02,0.6114180705812953
2016-09-09,0.3206224009525245
2016-09-16,0.3075296536464655
2016-09-23,0.2490115238287561
2016-09-30,0.3417938212977185
2016-10-07,0.3747845836294085
2016-10-14,0.22592238352211622
2016-10-21,0.34654439301993695
2016-10-28,0.2920055307323147
2016-11-04,0.20603026626610538
2016-11-11,0.2543034503219189
2016-11-18,0.33577269145958333
2016-11-25,0.41065155248738044
2016-12-02,0.38771989408155244
2016-12-09,0.4090780109966007
2016-12-16,0.4382202127984451
2016-12-23,0.4571401164852122
2016-12-30,0.436413385961024
2017-01-06,0.564149583536394
2017-01-13,0.7112445712253167
2017-01-20,0.6339221236084872
2017-01-27,0.5752206249389882
2017-02-03,0.6166825816061478
2017-02-10,0.6291303579470419
2017-02-17,0.7145133279630623
2017-02-24,0.7484744740201359
2017-03-03,0.7591863547301488
2017-03-10,0.6176971571316623
2017-03-17,0.642192768244153
2017-03-24,0.7214096503773404
2017-03-31,0.7826144044535465
2017-04-07,0.7237747394057973
2017-04-14,0.7468797817948604
2017-04-21,0.7572491550561375
2017-04-28,0.8376823104897291
2017-05-05,0.7291690175513083
2017-05-12,0.7358018286363226
2017-05-19,0.6594019103627129
