,equal,signal,vol_adjusted,mean_variance,benchmark
2019-01-04,1.006571455252157,1.0034147995939202,1.0058678519914643,1.002707820899445,0.9992821249102656
2019-01-11,1.0025025134748693,1.0037495496631732,1.0101839892531363,1.006899579501883,0.9971709654914411
2019-01-18,1.00267242521029,1.0105668113450488,1.0314222452628077,1.0370546910141734,0.9978812012218482
2019-01-25,1.0147984713305906,1.0254745553321256,1.0595615028114804,1.059391912773365,0.9929861988332338
2019-02-01,1.0147984713305906,1.0254745553321256,1.0595615028114804,1.059391912773365,0.9888081362855483
2019-02-08,1.0147984713305906,1.0254745553321256,1.0595615028114804,1.059391912773365,
2019-02-22,1.0201539987746742,1.0331535119036792,1.0708775306262333,1.076194400162932,0.9997837100924116
2019-03-01,1.0225666105517903,1.0359186672672378,1.0736893172360995,1.0807606700489782,1.0131141595603104
2019-03-08,1.0345289143745617,1.0346727186652094,1.071588965434332,1.070917092196208,1.0012725654875276
2019-03-22,1.024246760523656,1.0268003362548812,1.0633316223244882,1.0624087481168372,1.0119195740948663
2019-03-29,1.0251542982696673,1.02713670020641,1.0639794004956233,1.064136342573762,0.9990072356745827
2019-04-05,1.008488919650019,1.0070895809604192,1.0442135593675488,1.050635449209644,1.0010119324685787
2019-04-12,0.9902335166375162,0.9934377890368598,1.0322213377763532,1.0454540428766692,1.0010119324685787
2019-04-19,1.0039976801513257,1.012259128451717,1.0490187054175282,1.0625613520535302,1.0037525537758163
2019-04-26,1.0067257259040387,1.0150839324974528,1.0516940635030485,1.0673448803251329,1.0099273815160639
2019-05-03,0.9768153339325722,0.9846204279024973,1.0221252408689985,1.0364086120344629,1.0222770369965593
2019-05-10,0.9859271396642867,0.9938184183233144,1.0320714009264773,1.0440247032284329,1.0222770369965593
2019-05-17,0.9891117924518665,0.9977474482535421,1.0401201352183134,1.0498510999862918,1.018828059138946
2019-05-24,0.977852106017457,0.9869290762978502,1.0275216836729508,1.0463379241460726,1.015395350044812
2019-05-31,0.990998092116195,1.004430676844289,1.0450376871705154,1.0774078886977614,0.9995942045434382
2019-06-07,0.98432175221811,0.9971520573975212,1.0388245879400204,1.0676232943457882,1.011552755899693
2019-06-14,0.985602216634545,1.003060072975525,1.0451903482416667,1.0745688781366334,1.025700346891297
2019-06-21,0.9892754187234167,1.0087455821560496,1.052074491092126,1.0797327748721761,1.0264126387988604
2019-06-28,1.0024003993661146,1.0248573287975817,1.0692038407881561,1.0926334609286525,1.0256908296295222
2019-07-05,1.00893559807593,1.0332292819934001,1.0785000355917256,1.101289441833624,1.0263938391083636
